,id,tweets,links
1359925210594635776,1.3599252188490056e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/j62EWIMiOI‌‌ 
SOURCE IMAGE:‌‌ https://t.co/CplkrTu3dm  ","http://www.shitpostbot.com/template/god-5919c5cc0d354
http://www.shitpostbot.com/sourceimage/dankland-shitpostbot-58732e9c07c60"
1359917668489388048,1.359917670611759e+18,".@ShitpostBot5000 3. https://t.co/hpnwgRsaDY‌‌‌‌
4. https://t.co/4KcPnBRRgX    ","http://www.shitpostbot.com/sourceimage/carapuce-57bbdcb501c1e
http://www.shitpostbot.com/sourceimage/papa-598555f618701"
1359917665628880899,1.359917668489388e+18,".@ShitpostBot5000  
SOURCES:
1. https://t.co/C0VoUjmgkJ‌‌‌‌
2. https://t.co/Mr5K6LvsTk    ","http://www.shitpostbot.com/sourceimage/squodword-58624a2c27150
http://www.shitpostbot.com/sourceimage/cheeki-57b7e70f49319"
1359917657231921157,1.359917665628881e+18,.@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/rpp5hBmXBy  ,http://www.shitpostbot.com/template/bowie-screens-59a900b1c132f
1359910105043632128,1.3599101139901071e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/m6UhPCrw8M‌‌ 
SOURCE IMAGE:‌‌ https://t.co/PwItxQGFFm  ","http://www.shitpostbot.com/template/mom-haircut-57b1d5d28c9d4
http://www.shitpostbot.com/sourceimage/shes-gorgeous-5908c61a111d8"
1359902553916456965,1.3599025622086574e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/7AqPB08QLy‌‌ 
SOURCE IMAGE:‌‌ https://t.co/grWsKAZOAc  ","http://www.shitpostbot.com/template/meme-57b27079e755a
http://www.shitpostbot.com/sourceimage/king-harkinian-5845ee0a088c0"
1359895014067814404,1.3598950224102932e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/6jBXQffpd0‌‌ 
SOURCE IMAGE:‌‌ https://t.co/znmg04b0Px  ","http://www.shitpostbot.com/template/911-haha-meme-58e2afe212ca6
http://www.shitpostbot.com/sourceimage/big-fort-57c619450c070"
1359887456020135939,1.35988746444646e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/F3WOmuZYgB‌‌ 
SOURCE IMAGE:‌‌ https://t.co/5nj81fh13u  ","http://www.shitpostbot.com/template/suffering-keanu-5941a213df38a
http://www.shitpostbot.com/sourceimage/succ-57b1da3e3a7e1"
1359879908630147081,1.359879917123629e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/MpcFZZebzO‌‌ 
SOURCE IMAGE:‌‌ https://t.co/ZqLMBrg24A  ","http://www.shitpostbot.com/template/music-57fb08948d3a4
http://www.shitpostbot.com/sourceimage/cigarettes-57cb7de86c447"
1359872358937485313,1.3598723672169677e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/LIJJyqTW8H‌‌ 
SOURCE IMAGE:‌‌ https://t.co/iAbsEQyVwX  ","http://www.shitpostbot.com/template/girls-on-their-period-57b5fd03561b5
http://www.shitpostbot.com/sourceimage/hoprah-57f13cac630df"
1359864809429364739,1.359864818266747e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/nLVCK3kXfb‌‌ 
SOURCE IMAGE:‌‌ https://t.co/YGM8r2lqig  ","http://www.shitpostbot.com/template/real-danger-5847646c2af15
http://www.shitpostbot.com/sourceimage/batman-57b1dcf965f41"
1359857256758726656,1.3598572650549903e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/BxxYif5rRU‌‌ 
SOURCE IMAGE:‌‌ https://t.co/YenZtKPtpt  ","http://www.shitpostbot.com/template/whats-missing-in-your-life-57f8646e464a6
http://www.shitpostbot.com/sourceimage/playapostbot5000-57b322cc2f6e9"
1359849711914647558,1.359849720261333e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/Uq2HnbJ7Ld‌‌ 
SOURCE IMAGE:‌‌ https://t.co/SIr1txfyNB  ","http://www.shitpostbot.com/template/i-wont-be-needing-this-anymore-57de7a8a82fb3
http://www.shitpostbot.com/sourceimage/ancap-bird-58b95d2e9e827"
1359842157314605059,1.359842165438972e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/oGr5wIcswL‌‌ 
SOURCE IMAGE:‌‌ https://t.co/0WbuaIYhyf  ","http://www.shitpostbot.com/template/is-it-porn-100-it-is-57cc7cbac6fd0
http://www.shitpostbot.com/sourceimage/caramelized-man-58ab94b7f2181"
1359834616488689664,1.3598346193575936e+18,".@ShitpostBot5000  
SOURCES:
1. https://t.co/e8kau2eFeg‌‌‌‌
2. https://t.co/MfwixFvjVC    ","http://www.shitpostbot.com/sourceimage/reggie-end-582c137ec97aa
http://www.shitpostbot.com/sourceimage/only-the-dead-57b2d727955b3"
1359834608121106432,1.3598346164886897e+18,.@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/NZo5vozcDe  ,http://www.shitpostbot.com/template/splatfest-59a34939554fb
1359827059166629891,1.359827067886592e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/Oub53AkLtM‌‌ 
SOURCE IMAGE:‌‌ https://t.co/mZcD1lITp0  ","http://www.shitpostbot.com/template/thread-of-prophecy-593c4da346150
http://www.shitpostbot.com/sourceimage/spongecucc-57b37c38eaa90"
1359819514024722437,1.3598195223126671e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/dfPDdwKqYT‌‌ 
SOURCE IMAGE:‌‌ https://t.co/1hJxGgzg4o  ","http://www.shitpostbot.com/template/nice-girls-finish-last-57e1d5c133b1f
http://www.shitpostbot.com/sourceimage/nut-57b1dd78542ed"
1359811963224797184,1.3598119714540216e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/5tr3xcgPHs‌‌ 
SOURCE IMAGE:‌‌ https://t.co/LD5wwsOJwT  ","http://www.shitpostbot.com/template/what-she-sees-587f90e80f4f3
http://www.shitpostbot.com/sourceimage/my-hands-are-large-and-open-5872c7f564a47"
1359804405088944130,1.3598044133685535e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/RmuOGP8fsk‌‌ 
SOURCE IMAGE:‌‌ https://t.co/68QZB61LCQ  ","http://www.shitpostbot.com/template/dickpick-57e9b6099bf2c
http://www.shitpostbot.com/sourceimage/burger-enthusiast-57f2a4804a53c"
1359796856218345473,1.3597968645482988e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/vXCFKPl9VP‌‌ 
SOURCE IMAGE:‌‌ https://t.co/qnBJiFF2gb  ","http://www.shitpostbot.com/template/as-safe-as-safe-can-be-57c013768f5aa
http://www.shitpostbot.com/sourceimage/shaggy-daijoubu-57b2e8ecd7dcf"
1359789315585421312,1.3597893239530496e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/T3WbFu0n25‌‌ 
SOURCE IMAGE:‌‌ https://t.co/7atYLNL32k  ","http://www.shitpostbot.com/template/memorial-59c422fd01e7a
http://www.shitpostbot.com/sourceimage/distorted-spiderman-57b61ef25b602"
1359781768522522627,1.359781771320189e+18,".@ShitpostBot5000  
SOURCES:
1. https://t.co/cKfOZbkpLh‌‌‌‌
2. https://t.co/T413JcIz9y    ","http://www.shitpostbot.com/sourceimage/stuck-doggo-59c009e135870
http://www.shitpostbot.com/sourceimage/pull-the-trigger-do-it-57ba473c5712f"
1359781760142303238,1.3597817685225226e+18,.@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/8ZkpW3vbBq  ,http://www.shitpostbot.com/template/anime-57b268f0778b4
