,tweet,media,favorites,sources
1348698726899060736,https://t.co/EXwATZiqer,http://pbs.twimg.com/media/EreKWFyXEAEGzwz.jpg,754.0,"http://www.shitpostbot.com/template/ted-cruzs-likes-59b9daca74cea
http://www.shitpostbot.com/sourceimage/a-damaged-guy-fieri-57ec9c3698198"
1348660974795034624,https://t.co/ugLNFGWFsI,http://pbs.twimg.com/media/ErdoAn_XYAE0J-T.jpg,832.0,"http://www.shitpostbot.com/template/melania-in-saudiland-59236a00c497b
http://www.shitpostbot.com/sourceimage/shit-meme-57bba4e00519b"
1348615680904622081,https://t.co/aptPldXHNf,http://pbs.twimg.com/media/Erc-0MTXAAInvm7.jpg,835.0,"http://www.shitpostbot.com/template/vietnam-vet-57b758e9bae23
http://www.shitpostbot.com/sourceimage/in-the-court-of-the-crimson-king-58098ff85914a"
1348487338935070721,https://t.co/MN7jS80siA,http://pbs.twimg.com/media/ErbKFtlXcAAm8Lv.jpg,770.0,"http://www.shitpostbot.com/template/all-around-me-57b2993326e61
http://www.shitpostbot.com/sourceimage/peace-57ddc2a6d7ce0"
1348253292166578178,https://t.co/Cwim1L4Ojg,http://pbs.twimg.com/media/ErX1OZ2XAAEvZ-t.jpg,809.0,"http://www.shitpostbot.com/template/a-weapon-to-surpass-metal-gear-57e20ada33927
http://www.shitpostbot.com/sourceimage/yee-57b1efa087b27"
1348208005268058115,https://t.co/3qh7QoL4lL,http://pbs.twimg.com/media/ErXMCVdXcAEfYZ8.jpg,757.0,"http://www.shitpostbot.com/template/yeah-mom-57b1d717c6a31
http://www.shitpostbot.com/sourceimage/california-raisins-57c20a17b759b"
1347883352389517319,https://t.co/KW6Mr4nbVw,http://pbs.twimg.com/media/ErSkxDkW4AU13Ke.jpg,2193.0,"http://www.shitpostbot.com/template/the-formula-59b06d87f0c77
http://www.shitpostbot.com/sourceimage/o-h-5983d7e4befda"
1347800299910684672,https://t.co/kgI2UaNnTo,http://pbs.twimg.com/media/ErRZOxnXIAEBH6v.jpg,2941.0,"http://www.shitpostbot.com/template/delet-this-account-57fa82cece2b4
http://www.shitpostbot.com/sourceimage/g-l-o-b-a-l-i-s-t-l-o-c-a-t-e-d-58f39c792d19c"
1347702158385299456,https://t.co/YRRBk74Z5W,http://pbs.twimg.com/media/ErP_-LbVkAAIXrs.jpg,903.0,"http://www.shitpostbot.com/template/wrong-file-57b9d19a44705
http://www.shitpostbot.com/sourceimage/favourite-anime-characters-57b1e49e15070"
1347528514438918146,https://t.co/rEXMfc1qtX,http://pbs.twimg.com/media/ErNiCySXUAIS5cj.jpg,1818.0,"http://www.shitpostbot.com/template/wix-site-2-5862f3aeb5fc0
http://www.shitpostbot.com/sourceimage/sentience-58b0335013baf"
